file1,file2
04233d3014.tiff,04233d3079.tiff
04418d1201.tiff,04418d1274.tiff
04470d2736.tiff,04470d2784.tiff
04725d1396.tiff,04725d1444.tiff
05245d73.tiff,05245d93.tiff
05301d1138.tiff,05301d1210.tiff
05368d775.tiff,05368d883.tiff
05394d253.tiff,05394d285.tiff
05406d878.tiff,05406d918.tiff
05407d1038.tiff,05407d1078.tiff
05409d1300.tiff,05409d1373.tiff
05415d1100.tiff,05415d1140.tiff
05432d1006.tiff,05432d1081.tiff
05517d645.tiff,05517d834.tiff
05541d757.tiff,05541d800.tiff
05555d1112.tiff,05555d1152.tiff
05611d583.tiff,05611d655.tiff
05615d796.tiff,05615d869.tiff
05618d1067.tiff,05618d1138.tiff
05664d1048.tiff,05664d969.tiff
05674d944.tiff,05674d984.tiff
05679d593.tiff,05679d633.tiff
05696d1036.tiff,05696d996.tiff
05705d1043.tiff,05705d887.tiff
05708d637.tiff,05708d710.tiff
05714d754.tiff,05714d827.tiff
05720d265.tiff,05720d338.tiff
05731d431.tiff,05731d471.tiff
05733d1299.tiff,05733d799.tiff
05735d326.tiff,05735d370.tiff
05756d451.tiff,05756d76.tiff
05764d868.tiff,05764d908.tiff
05766d766.tiff,05766d806.tiff
05798d451.tiff,05798d522.tiff
05804d778.tiff,05804d868.tiff
05808d948.tiff,05808d986.tiff
05809d776.tiff,05809d849.tiff
05812d765.tiff,05812d805.tiff
05830d554.tiff,05830d868.tiff
05839d219.tiff,05839d282.tiff
05868d737.tiff,05868d822.tiff
05869d136.tiff,05869d164.tiff
05881d452.tiff,05881d527.tiff
05893d576.tiff,05893d646.tiff
05905d100.tiff,05905d409.tiff
05913d416.tiff,05913d99.tiff
05937d220.tiff,05937d292.tiff
05953d712.tiff,05953d732.tiff
05959d121.tiff,05959d59.tiff
06001d465.tiff,06001d537.tiff
06004d364.tiff,06004d432.tiff
06009d267.tiff,06009d340.tiff
06017d613.tiff,06017d653.tiff
06023d388.tiff,06023d481.tiff
06028d407.tiff,06028d482.tiff
06046d432.tiff,06046d505.tiff
06053d125.tiff,06053d62.tiff
